director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
"Vincent Kesteloot, Ben Stassen ", Matthias Schweighöfer,Kaya Yanar,Cindy aus Marzahn,Action Adventure Drama,robinson crusoe," Matthias Schweighöfer Kaya Yanar Cindy aus Marzahn Vincent Kesteloot, Ben Stassen  Action Adventure Drama"
D. J. Caruso , Kate Beckinsale,Mel Raido,Gerald McRaney,Drama Horror Thriller,the disappointments room, Kate Beckinsale Mel Raido Gerald McRaney D. J. Caruso  Drama Horror Thriller
Sharon Maguire , Renée Zellweger,Colin Firth,Patrick Dempsey,Comedy Romance,bridget jones's baby, Renée Zellweger Colin Firth Patrick Dempsey Sharon Maguire  Comedy Romance
Oliver Stone , Joseph Gordon-Levitt,Shailene Woodley,Melissa Leo,Drama History Crime Thriller,snowden, Joseph Gordon-Levitt Shailene Woodley Melissa Leo Oliver Stone  Drama History Crime Thriller
Adam Wingard , James Allen McCune,Callie Hernandez,Brandon Scott,Documentary Horror Thriller,blair witch, James Allen McCune Callie Hernandez Brandon Scott Adam Wingard  Documentary Horror Thriller
Michael John Warren , Joel Houston,Michael Guy Chislett,unknown,Documentary,hillsong: let hope rise, Joel Houston Michael Guy Chislett unknown Michael John Warren  Documentary
Antoine Fuqua , Denzel Washington,Chris Pratt,Ethan Hawke,Adventure Action Western,the magnificent seven, Denzel Washington Chris Pratt Ethan Hawke Antoine Fuqua  Adventure Action Western
"Nicholas Stoller, Doug Sweetland ", Andy Samberg,Katie Crown,Kelsey Grammer,Adventure Animation Comedy Family,storks," Andy Samberg Katie Crown Kelsey Grammer Nicholas Stoller, Doug Sweetland  Adventure Animation Comedy Family"
Tim Burton , Eva Green,Asa Butterfield,Chris O'Dowd,Drama Fantasy Adventure Family,miss peregrine's home for peculiar children, Eva Green Asa Butterfield Chris O'Dowd Tim Burton  Drama Fantasy Adventure Family
Peter Berg , Mark Wahlberg,Kurt Russell,John Malkovich,Drama Action,deepwater horizon, Mark Wahlberg Kurt Russell John Malkovich Peter Berg  Drama Action
Mira Nair , Madina Nalwanga,David Oyelowo,Lupita Nyong'o,Drama,queen of katwe, Madina Nalwanga David Oyelowo Lupita Nyong'o Mira Nair  Drama
Jared Hess , Zach Galifianakis,Owen Wilson,Kristen Wiig,Action Comedy Crime,masterminds, Zach Galifianakis Owen Wilson Kristen Wiig Jared Hess  Action Comedy Crime
Tate Taylor , Emily Blunt,Rebecca Ferguson,Haley Bennett,Crime Drama Mystery Thriller,the girl on the train, Emily Blunt Rebecca Ferguson Haley Bennett Tate Taylor  Crime Drama Mystery Thriller
Nate Parker , Nate Parker,Armie Hammer,Colman Domingo,Drama,the birth of a nation, Nate Parker Armie Hammer Colman Domingo Nate Parker  Drama
Steve Carr , Griffin Gluck,Lauren Graham,Rob Riggle,Family Comedy,middle school: the worst years of my life, Griffin Gluck Lauren Graham Rob Riggle Steve Carr  Family Comedy
Gavin O'Connor , Ben Affleck,Anna Kendrick,J. K. Simmons,Crime Thriller Drama,the accountant, Ben Affleck Anna Kendrick J. K. Simmons Gavin O'Connor  Crime Thriller Drama
Leslie Small , Kevin Hart,unknown,unknown,Comedy,kevin hart: what now?, Kevin Hart unknown unknown Leslie Small  Comedy
Stewart Hendler , Ben Winchell,Maria Bello,Ana Villafañe,Action Adventure Science Fiction,max steel, Ben Winchell Maria Bello Ana Villafañe Stewart Hendler  Action Adventure Science Fiction
Edward Zwick , Tom Cruise,Cobie Smulders,unknown,Action,jack reacher: never go back, Tom Cruise Cobie Smulders unknown Edward Zwick  Action
Greg Mottola , Zach Galifianakis,Jon Hamm,Isla Fisher,Action Comedy,keeping up with the joneses, Zach Galifianakis Jon Hamm Isla Fisher Greg Mottola  Action Comedy
Mike Flanagan , Elizabeth Reaser,Annalise Basso,Henry Thomas,Horror Thriller,ouija: origin of evil, Elizabeth Reaser Annalise Basso Henry Thomas Mike Flanagan  Horror Thriller
Tyler Perry , Tyler Perry,Cassi Davis,Patrice Lovely,Comedy Horror Drama,boo! a madea halloween, Tyler Perry Cassi Davis Patrice Lovely Tyler Perry  Comedy Horror Drama
Brian Baugh , Masey McLain,Ben Davies,Sadie Robertson,Drama,i'm not ashamed, Masey McLain Ben Davies Sadie Robertson Brian Baugh  Drama
Ewan McGregor , Ewan McGregor,Jennifer Connelly,Dakota Fanning,Crime Drama,american pastoral, Ewan McGregor Jennifer Connelly Dakota Fanning Ewan McGregor  Crime Drama
Ron Howard , Tom Hanks,Felicity Jones,Irrfan Khan,Mystery Thriller Drama,inferno, Tom Hanks Felicity Jones Irrfan Khan Ron Howard  Mystery Thriller Drama
